Id,InitScript,ApplyScript,ClearScript,ReducePerTurn,ReducePerAttacked,ReducePerUse,UpperBound,Icon,Type,Rarity,Effects,SoundEffects,Action
BUFF的ID（唯一英文）,,BUFF生效时的效buff_BUFF的ID（唯一英文）时的效果,清除时效果,层数每回合减少数,层数每受击减少数,层数每行动减少数,层数上限,图标路径,类型,稀有度,特效,,
timelock,,"AddEvent(""EndRound"",()=> {
         var buff = Self.GetBuff(DataId.buff_timelock);
        if (buff == null) { return; } var list = buff.effectList.ToList();
        while (list.Count > 0) { list[0].action(); list.RemoveAt(0); buff.buffConfig.Level = 0; }  });",,0,0,0,999,Icon/Buff/时之笼,指示物,2,,,
epiphany,,"       AddEvent(""buff_epiphanyOnLevelChange"",() => {

           ChangeMaxPower(Self.GetBuff(DataId.buff_epiphany).buffConfig.Level.ToString());});",,0,0,0,999,Icon/Buff/启示,正面,4,,,
cripple,,"AddEvent(""Hurt"",() => {ChangePower(""-1"");});",,0,1,0,100,Icon/Buff/失能,负面,4,,,
sourcecast,,"AddEvent(""CostPower"",() => {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            if (Self.GetBuff(DataId.buff_sourcecast)==null)
            {
                return;
            }
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""]) %2==0)
            {
                DrawCount(Self.GetBuff(DataId.buff_sourcecast).buffConfig.Level.ToString());
            }
            });",,0,0,0,3,Icon/Buff/源蜕,能力,5,,,
bloodwall,,"SetStatus(""Self"");
        
        AddEvent(""Action"",() => {
         if (Self.GetBuff(DataId.buff_bloodwall)==null)
         {
                return;
         }
            ChangeDefence(Self.GetBuff(DataId.buff_bloodwall).buffConfig.Level.ToString());});",,1,1,0,999,Icon/Buff/血墙,正面,3,,,
timestop,,"SetStatus(""Self"");AddEvent(""StartRound"",() => {ChangeRound();});",,1,0,0,10,Icon/Buff/时停,指示物,5,,,
elements,"AddDescription(""1"", ""Buff"", Vars[""layer""].ToInt() * 2);","SetStatus(""Self"");
AddEvent(""Action"",() => {
            AddBuff(DataId.buff_extraordinary,(int.Parse(Self.GetBuff(DataId.buff_elements).buffConfig.Level.ToString())*2).ToString());});",,0,0,0,9999,Icon/Buff/元素,正面,2,,,
fast,,"AddEvent(""buff_fastOnLevelChange"",() => {ChangeDynamicVar(""RoundCard"",Self.GetBuff(DataId.buff_fast).buffConfig.Level.ToString());});",,1,0,0,10,Icon/Buff/敏锐,正面,3,,,
*immortal,,"
AddEvent(""Hurt"",() => {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""]) %2== 0)
            {
                ChangePower(Self.GetBuff(DataId.buff_immortal).buffConfig.Level.ToString());
            }
            });",,0,0,0,4,Icon/Buff/不朽,能力,5,,,
